Time, CPU Usage, CPU Temp, 
2020-07-20 02:31:20.745798,8.9,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:31:30.758851,8.4,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:31:40.772752,9.2,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:31:50.786109,9.1,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:32:00.799424,7.9,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:32:10.812492,8.8,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:32:20.825563,8.8,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:32:30.838719,9.1,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:32:40.851750,9.4,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:32:50.865143,8.4,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:33:00.878265,8.9,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:33:10.891746,8.9,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:33:20.904970,9.8,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:33:30.912611,8.0,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:33:40.926152,8.5,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:33:50.939602,8.9,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:34:00.952571,10.3,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:34:10.965624,8.8,{'cpu_thermal': [shwtemp(label='', current=59.4, high=None, critical=None)]}
2020-07-20 02:34:20.978034,8.1,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:34:30.991103,9.4,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:34:41.004239,9.2,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:34:51.017734,9.1,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:35:01.030866,7.7,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:35:11.044044,9.2,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:35:21.057066,9.5,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:35:31.070198,9.3,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:35:41.083312,9.1,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:35:51.096389,9.8,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:36:01.102592,8.8,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:36:11.115633,8.4,{'cpu_thermal': [shwtemp(label='', current=59.887, high=None, critical=None)]}
2020-07-20 02:36:21.128753,9.0,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:36:31.132577,8.6,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:36:41.145649,9.1,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:36:51.152557,8.4,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:37:01.165331,8.7,{'cpu_thermal': [shwtemp(label='', current=59.4, high=None, critical=None)]}
2020-07-20 02:37:11.178388,9.7,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:37:21.191636,8.0,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:37:31.205076,9.0,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:37:41.218205,9.7,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:37:51.222572,8.8,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:38:01.232571,8.5,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:38:11.245626,9.2,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:38:21.259014,8.2,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:38:31.272091,8.7,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:38:41.285457,10.0,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:38:51.292580,8.4,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:39:01.305610,8.0,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:39:11.312593,9.7,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:39:21.325751,8.5,{'cpu_thermal': [shwtemp(label='', current=59.4, high=None, critical=None)]}
2020-07-20 02:39:31.338978,8.5,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:39:41.342582,8.8,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:39:51.355590,9.3,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:40:01.368700,8.3,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:40:11.381735,9.1,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:40:21.395049,9.6,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:40:31.408513,9.2,{'cpu_thermal': [shwtemp(label='', current=59.887, high=None, critical=None)]}
2020-07-20 02:40:41.421643,7.9,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:40:51.434852,7.5,{'cpu_thermal': [shwtemp(label='', current=59.4, high=None, critical=None)]}
2020-07-20 02:41:01.448133,8.1,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:41:11.461175,8.7,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:41:21.472559,8.3,{'cpu_thermal': [shwtemp(label='', current=59.4, high=None, critical=None)]}
2020-07-20 02:41:31.485972,9.3,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:41:41.492612,10.2,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:41:51.505637,8.8,{'cpu_thermal': [shwtemp(label='', current=59.887, high=None, critical=None)]}
2020-07-20 02:42:01.512617,7.8,{'cpu_thermal': [shwtemp(label='', current=59.887, high=None, critical=None)]}
2020-07-20 02:42:11.526310,3.3,{'cpu_thermal': [shwtemp(label='', current=59.4, high=None, critical=None)]}
2020-07-20 02:42:21.539939,2.5,{'cpu_thermal': [shwtemp(label='', current=58.913, high=None, critical=None)]}
2020-07-20 02:42:31.553686,3.0,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:42:41.563733,3.3,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:42:51.572621,2.7,{'cpu_thermal': [shwtemp(label='', current=58.426, high=None, critical=None)]}
2020-07-20 02:43:01.580340,2.1,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:43:11.594402,2.3,{'cpu_thermal': [shwtemp(label='', current=57.939, high=None, critical=None)]}
2020-07-20 02:43:21.607398,2.5,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:43:31.621101,0.2,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:43:41.634904,0.0,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-08-02 20:51:12.581299,0.0,{'cpu_thermal': [shwtemp(label='', current=42.842, high=None, critical=None)]}
2020-08-02 20:51:22.597554,0.0,{'cpu_thermal': [shwtemp(label='', current=43.329, high=None, critical=None)]}
2020-08-02 20:51:32.611784,-0.0,{'cpu_thermal': [shwtemp(label='', current=44.79, high=None, critical=None)]}
2020-08-02 20:51:42.625938,0.1,{'cpu_thermal': [shwtemp(label='', current=44.303, high=None, critical=None)]}
2020-08-02 20:51:52.640064,-0.0,{'cpu_thermal': [shwtemp(label='', current=43.816, high=None, critical=None)]}
2020-08-02 20:52:02.654152,0.2,{'cpu_thermal': [shwtemp(label='', current=44.303, high=None, critical=None)]}
2020-08-02 20:52:12.668300,0.0,{'cpu_thermal': [shwtemp(label='', current=44.79, high=None, critical=None)]}
2020-08-02 20:52:22.682441,-0.0,{'cpu_thermal': [shwtemp(label='', current=44.303, high=None, critical=None)]}
2020-08-02 20:52:32.696618,0.0,{'cpu_thermal': [shwtemp(label='', current=44.79, high=None, critical=None)]}
2020-08-02 20:52:42.710616,0.0,{'cpu_thermal': [shwtemp(label='', current=45.277, high=None, critical=None)]}
2020-08-02 20:52:52.724663,0.0,{'cpu_thermal': [shwtemp(label='', current=44.79, high=None, critical=None)]}
2020-08-02 20:53:02.738703,0.0,{'cpu_thermal': [shwtemp(label='', current=45.277, high=None, critical=None)]}
2020-08-02 20:53:12.752836,-0.0,{'cpu_thermal': [shwtemp(label='', current=45.277, high=None, critical=None)]}
2020-08-02 20:53:22.767016,0.0,{'cpu_thermal': [shwtemp(label='', current=46.251, high=None, critical=None)]}
2020-08-02 20:53:32.781478,0.0,{'cpu_thermal': [shwtemp(label='', current=46.251, high=None, critical=None)]}
2020-08-02 20:53:42.795612,0.0,{'cpu_thermal': [shwtemp(label='', current=45.764, high=None, critical=None)]}
2020-08-02 20:53:52.809588,0.0,{'cpu_thermal': [shwtemp(label='', current=46.251, high=None, critical=None)]}
2020-08-02 20:54:02.823589,0.0,{'cpu_thermal': [shwtemp(label='', current=47.225, high=None, critical=None)]}
2020-08-02 20:54:12.837651,-0.0,{'cpu_thermal': [shwtemp(label='', current=46.738, high=None, critical=None)]}
2020-08-02 20:54:22.851727,0.0,{'cpu_thermal': [shwtemp(label='', current=46.738, high=None, critical=None)]}
2020-08-02 20:54:32.865889,0.0,{'cpu_thermal': [shwtemp(label='', current=47.712, high=None, critical=None)]}
2020-08-02 20:54:42.879887,0.0,{'cpu_thermal': [shwtemp(label='', current=47.225, high=None, critical=None)]}
2020-08-02 20:54:52.894069,0.0,{'cpu_thermal': [shwtemp(label='', current=46.738, high=None, critical=None)]}
2020-08-02 20:55:02.908154,-0.0,{'cpu_thermal': [shwtemp(label='', current=46.251, high=None, critical=None)]}
2020-08-02 20:55:12.922213,0.0,{'cpu_thermal': [shwtemp(label='', current=47.225, high=None, critical=None)]}
2020-08-02 20:55:22.936342,0.0,{'cpu_thermal': [shwtemp(label='', current=47.712, high=None, critical=None)]}
2020-08-02 20:55:32.950447,0.0,{'cpu_thermal': [shwtemp(label='', current=47.225, high=None, critical=None)]}
2020-08-02 20:55:42.964553,0.0,{'cpu_thermal': [shwtemp(label='', current=47.225, high=None, critical=None)]}
2020-08-02 20:55:52.978589,-0.0,{'cpu_thermal': [shwtemp(label='', current=47.225, high=None, critical=None)]}
2020-08-02 20:56:02.992629,0.0,{'cpu_thermal': [shwtemp(label='', current=48.199, high=None, critical=None)]}
2020-08-02 20:56:13.006759,0.0,{'cpu_thermal': [shwtemp(label='', current=48.199, high=None, critical=None)]}
2020-08-02 20:56:23.020656,0.0,{'cpu_thermal': [shwtemp(label='', current=46.738, high=None, critical=None)]}
2020-08-02 20:56:33.034494,0.0,{'cpu_thermal': [shwtemp(label='', current=47.712, high=None, critical=None)]}
2020-08-02 20:56:43.048197,-0.0,{'cpu_thermal': [shwtemp(label='', current=48.686, high=None, critical=None)]}
2020-08-02 20:56:53.061927,0.0,{'cpu_thermal': [shwtemp(label='', current=48.199, high=None, critical=None)]}
2020-08-02 20:57:03.075933,0.0,{'cpu_thermal': [shwtemp(label='', current=48.686, high=None, critical=None)]}
2020-08-02 20:57:13.089711,-0.0,{'cpu_thermal': [shwtemp(label='', current=47.225, high=None, critical=None)]}
2020-08-02 20:57:23.103614,0.0,{'cpu_thermal': [shwtemp(label='', current=48.686, high=None, critical=None)]}
2020-08-02 20:57:33.117508,0.0,{'cpu_thermal': [shwtemp(label='', current=47.712, high=None, critical=None)]}
2020-08-02 20:57:43.131384,0.2,{'cpu_thermal': [shwtemp(label='', current=50.147, high=None, critical=None)]}
2020-08-02 20:57:53.145643,0.0,{'cpu_thermal': [shwtemp(label='', current=48.686, high=None, critical=None)]}
2020-08-02 20:58:03.159666,0.0,{'cpu_thermal': [shwtemp(label='', current=48.686, high=None, critical=None)]}
2020-08-02 20:58:13.173568,0.0,{'cpu_thermal': [shwtemp(label='', current=48.686, high=None, critical=None)]}
2020-08-02 20:58:23.187558,0.0,{'cpu_thermal': [shwtemp(label='', current=48.199, high=None, critical=None)]}
