Date,Time,CPU Core 1 (C),CPU Core 2 (C),CPU Core 3 (C),CPU Core 4 (C),CPU PECI (C),CPU Proximity (C),CPU System Agent Core (C),Intel Iris Pro GPU (C),Battery (C),Battery Management Unit (C),Battery Proximity (C),Air Flow Proximity (C),AirPort Proximity (C),Left Heatsink Proximity (C),Platform Controller Hub Die (C),Right Heatsink Proximity (C),Memory Module Proximity (C),Memory Slot (C),Palmrest Proximity (C),Palmrest Proximity (C),SSD A (C),SSD B (C),CPU Average (C),Computer Average (C)
2020-08-02,20:43:12,39,38,36,41,41,36,33,40,28,28,28,33,34,35,40,34,39,38,27,27,32,31,38,34
2020-08-02,20:43:14,40,39,36,40,41,36,32,40,29,29,28,33,34,34,40,34,39,38,27,27,32,31,38,34
2020-08-02,20:43:16,42,40,36,38,41,36,32,40,29,29,28,33,34,34,40,34,39,38,27,27,32,31,38,34
2020-08-02,20:43:18,39,40,34,42,41,36,33,40,29,29,28,32,34,34,40,34,39,38,27,27,32,31,38,34
2020-08-02,20:43:20,42,38,36,41,41,36,31,41,29,29,28,33,34,34,40,34,39,38,27,27,32,31,38,35
2020-08-02,20:43:22,36,40,37,39,40,36,32,38,29,29,28,33,34,34,40,34,39,38,27,27,32,31,37,34
2020-08-02,20:43:24,38,40,36,38,40,36,32,39,29,29,28,33,34,34,40,34,39,38,27,27,32,31,37,34
2020-08-02,20:43:26,39,39,38,39,40,36,32,41,29,29,28,33,34,34,40,34,39,38,27,27,32,31,38,34
2020-08-02,20:43:28,37,39,34,39,40,36,31,39,29,29,28,33,34,34,40,34,39,38,27,27,32,31,37,34
2020-08-02,20:43:30,39,37,35,40,40,36,31,40,29,29,28,33,34,34,40,34,38,38,27,27,32,31,37,34
2020-08-02,20:43:32,42,38,34,39,40,36,32,39,29,29,28,33,34,34,40,34,38,38,27,27,32,31,37,34
2020-08-02,20:43:34,38,39,36,38,40,36,31,42,29,29,28,32,34,34,40,34,39,38,27,27,32,31,37,34
2020-08-02,20:43:36,38,40,35,38,40,36,32,39,29,29,28,33,34,34,40,34,39,38,27,27,32,31,37,34
2020-08-02,20:43:38,38,37,33,41,40,36,32,39,29,29,28,32,34,34,40,34,39,38,27,27,32,31,37,34
2020-08-02,20:43:40,40,39,34,37,40,36,32,38,29,29,28,33,34,34,40,34,39,38,27,27,32,31,37,34
2020-08-02,20:43:42,37,38,34,39,40,35,31,39,29,29,28,33,34,34,40,34,38,38,27,27,32,31,36,34
2020-08-02,20:43:44,38,39,36,40,40,35,31,40,29,29,28,33,34,34,40,34,39,37,27,27,31,31,37,34
2020-08-02,20:43:46,38,36,34,39,40,35,31,38,29,29,28,33,34,34,40,34,39,37,27,27,31,31,36,34
2020-08-02,20:43:48,37,37,34,38,39,35,30,38,29,29,28,33,34,34,40,34,39,37,27,27,31,31,36,34
2020-08-02,20:43:50,38,38,36,38,39,35,31,39,29,29,28,33,34,34,40,34,39,37,27,27,31,31,36,34
2020-08-02,20:43:52,38,39,35,39,39,35,31,39,29,29,28,33,34,34,40,34,39,37,27,27,31,31,37,34
2020-08-02,20:43:54,38,36,34,37,39,35,32,40,29,29,28,33,34,34,40,34,39,37,27,27,31,31,36,34
2020-08-02,20:43:56,40,36,35,36,40,35,31,38,29,29,28,33,34,34,40,34,39,37,27,27,31,31,36,34
2020-08-02,20:43:58,38,39,31,40,39,35,30,39,29,29,28,33,34,34,40,34,39,37,27,27,31,31,36,34
2020-08-02,20:44:00,38,37,35,41,39,35,30,39,29,29,28,33,34,34,40,34,39,37,27,27,31,31,36,34
2020-08-02,20:44:02,39,38,36,40,40,35,31,39,29,29,28,33,34,34,40,34,39,37,27,27,31,31,37,34
2020-08-02,20:44:04,39,36,32,35,39,34,31,38,29,29,28,33,34,34,39,34,39,37,27,27,31,31,35,33
2020-08-02,20:44:06,38,38,35,40,39,34,30,38,29,29,28,33,34,34,39,34,39,37,27,26,31,31,36,34
2020-08-02,20:44:08,37,37,34,39,39,35,32,40,29,29,28,33,34,34,39,34,39,37,27,26,31,31,36,34
2020-08-02,20:44:10,39,36,34,37,39,35,30,38,29,29,28,33,34,34,39,34,39,37,27,27,31,31,36,34
2020-08-02,20:44:12,39,38,32,39,39,35,30,38,29,29,28,33,34,34,39,33,39,37,27,27,31,31,36,34
2020-08-02,20:44:14,38,38,35,37,39,35,30,38,29,29,28,33,33,34,39,33,39,37,27,27,31,31,36,34
2020-08-02,20:44:16,36,38,32,37,39,35,30,37,29,29,28,33,33,34,39,33,39,37,27,27,31,31,35,33
2020-08-02,20:44:18,37,39,32,35,39,35,31,36,29,29,28,33,33,34,39,33,39,37,27,27,31,31,36,33
2020-08-02,20:44:20,36,37,32,39,39,35,30,39,29,29,28,33,33,34,39,33,39,37,27,27,31,31,35,33
2020-08-02,20:44:22,38,37,31,35,39,35,29,37,29,29,28,33,33,34,39,33,39,37,27,27,31,31,35,33
2020-08-02,20:44:24,39,39,34,39,39,34,30,39,29,29,28,33,33,33,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:44:26,39,37,32,38,39,35,30,38,29,29,28,33,33,33,39,33,39,37,27,27,31,31,36,33
2020-08-02,20:44:28,38,39,35,38,39,35,29,37,29,29,28,33,33,33,39,33,38,37,27,27,31,31,36,33
2020-08-02,20:44:30,37,36,31,38,39,34,30,37,29,29,28,33,33,33,39,33,39,37,27,27,31,31,35,33
